Merchant,Location,City,State,Zip,Country,Vendor,VendorID,DCMSID,Product,Denomination,Currency,ProductCountry,SerialNumber,VAN16,TransDate,TransTime,Action,Sign,CardAmount,RefNo,HISTORYID,MarketingCode,ActivatorPartnerTransId,Min,Max
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0IDR-DIGGMGMYC-001,1560000,IDR,IDN,53a679a4c1834d78a260c009ab635e4a,53a679a4c1834d78a260c009ab635e4a,07/17/2014,07:34:47,A,1,1560000,691e1dff6155415bb6c42a36765944a1,691e1dff-6155-415b-b6c4-2a36765944a1,,FI14071700002799,1560000,62400000
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0IDR-DIGGMGMYC-001,4680000,IDR,IDN,0c391e36c47b434ab7afe372dddf6fad,0c391e36c47b434ab7afe372dddf6fad,07/17/2014,07:36:00,A,1,4680000,c7cf6ee0699e496cb62904daa750032d,c7cf6ee0-699e-496c-b629-04daa750032d,,FI14071700002809,1560000,62400000
